발생지시도,발생지시군구,법규위반,경도,위도
서울,송파구,안전운전 의무 불이행,127.133107,37.49874052
서울,금천구,안전운전 의무 불이행,126.8980936,37.47294629
서울,은평구,보행자 보호의무 위반,126.915444,37.61909675
서울,영등포구,안전운전 의무 불이행,126.8977393,37.48749238
서울,금천구,신호위반,126.9034922,37.44395888
서울,광진구,안전운전 의무 불이행,127.0949431,37.55460089
서울,관악구,안전운전 의무 불이행,126.9549303,37.48122622
서울,중랑구,안전운전 의무 불이행,127.0860718,37.5946351
서울,광진구,안전운전 의무 불이행,127.0651741,37.54170482
서울,성동구,안전운전 의무 불이행,127.0254745,37.54730259
서울,성북구,안전운전 의무 불이행,127.0381594,37.60244866
서울,영등포구,신호위반,126.9014769,37.50673726
서울,양천구,안전운전 의무 불이행,126.8833993,37.53665923
서울,송파구,중앙선 침범,127.141916,37.50030167
서울,동작구,신호위반,126.9316479,37.51327688
서울,서초구,안전운전 의무 불이행,126.9817981,37.47719185
서울,양천구,신호위반,126.8628733,37.5465552
서울,강남구,안전운전 의무 불이행,127.0275518,37.49794369
서울,강서구,안전운전 의무 불이행,126.8486832,37.54460299
서울,관악구,안전운전 의무 불이행,126.9319437,37.48768884
서울,관악구,안전운전 의무 불이행,126.9126006,37.47328971
서울,서대문구,안전운전 의무 불이행,126.9290944,37.57216769
서울,마포구,안전운전 의무 불이행,126.9118054,37.54872896
서울,영등포구,보행자 보호의무 위반,126.898331,37.50538728
서울,광진구,중앙선 침범,127.0712547,37.55125436
서울,성동구,안전운전 의무 불이행,127.0533459,37.55104375
서울,종로구,안전거리 미확보,127.004238,37.57110108
서울,동작구,신호위반,126.9094408,37.49254496
서울,강남구,안전운전 의무 불이행,127.027823,37.51955031
서울,송파구,안전운전 의무 불이행,127.1465082,37.50772469
서울,동대문구,안전운전 의무 불이행,127.0337489,37.57832394
서울,종로구,안전운전 의무 불이행,127.0073052,37.57306984
서울,서초구,안전운전 의무 불이행,127.0210732,37.48317136
서울,도봉구,안전운전 의무 불이행,127.0449797,37.6774881
서울,양천구,안전운전 의무 불이행,126.8736338,37.52144716
서울,양천구,안전운전 의무 불이행,126.872081,37.5311915
서울,동대문구,안전운전 의무 불이행,127.0689806,37.59031055
서울,서초구,안전운전 의무 불이행,126.9988172,37.50970516
서울,노원구,안전운전 의무 불이행,127.050192,37.67442554
서울,동대문구,신호위반,127.0578195,37.57756929
서울,종로구,안전운전 의무 불이행,127.0011961,37.58573513
서울,종로구,신호위반,126.977166,37.57053361
서울,강남구,안전운전 의무 불이행,127.0450933,37.5230162
서울,광진구,과속,127.087259,37.56221774
서울,서초구,과속,127.0191664,37.51596404
서울,동대문구,중앙선 침범,127.0544618,37.58799426
서울,관악구,안전운전 의무 불이행,126.909903,37.48125328
서울,중랑구,안전운전 의무 불이행,127.0800518,37.57275074
서울,성동구,안전운전 의무 불이행,127.0351954,37.5715425
서울,동작구,안전운전 의무 불이행,126.9488544,37.50307397
서울,성북구,과속,127.0631886,37.61422896
서울,강북구,안전운전 의무 불이행,127.0331808,37.64025292
서울,송파구,신호위반,127.1455584,37.49562557
서울,은평구,보행자 보호의무 위반,126.9188359,37.63462549
서울,동작구,안전운전 의무 불이행,126.9378887,37.49587455
서울,송파구,안전운전 의무 불이행,127.1287793,37.47504547
서울,도봉구,안전운전 의무 불이행,127.047721,37.65182864
서울,강서구,안전운전 의무 불이행,126.8506722,37.55281617
서울,강동구,중앙선 침범,127.1381002,37.53375751
서울,강남구,과속,127.0341228,37.50007897
서울,서대문구,안전거리 미확보,126.9177337,37.56957943
서울,강동구,과속,127.1290844,37.53707988
서울,강동구,보행자 보호의무 위반,127.1332227,37.53590572
서울,강동구,안전운전 의무 불이행,127.1711833,37.55717234
서울,강서구,안전운전 의무 불이행,126.842486,37.52714563
서울,관악구,안전운전 의무 불이행,126.9761425,37.47403919
서울,동대문구,안전운전 의무 불이행,127.0650031,37.59449623
서울,강남구,과속,127.059198,37.47618095
서울,강북구,신호위반,127.0230797,37.6334615
서울,마포구,안전운전 의무 불이행,126.9137729,37.54901817
서울,성동구,안전운전 의무 불이행,127.0437508,37.56690688
서울,영등포구,안전운전 의무 불이행,126.9064652,37.53547046
서울,강북구,신호위반,127.0185318,37.6198959
서울,도봉구,안전운전 의무 불이행,127.0155561,37.6576137
서울,중구,신호위반,126.9825869,37.56609583
서울,종로구,앞지르기 방법위반,126.9776201,37.61088875
서울,성동구,안전운전 의무 불이행,127.0259012,37.56750355
서울,관악구,안전운전 의무 불이행,126.9269774,37.48775499
서울,서대문구,안전운전 의무 불이행,126.9135816,37.5701096
서울,마포구,신호위반,126.9116832,37.55419051
서울,서초구,차로위반(진로변경 위반),127.0406458,37.46760141
서울,강남구,안전운전 의무 불이행,127.0936418,37.49187097
서울,강동구,안전운전 의무 불이행,127.1123713,37.54286969
서울,금천구,안전운전 의무 불이행,126.8966972,37.45109022
서울,광진구,차로위반(진로변경 위반),127.0882555,37.55601992
서울,마포구,안전운전 의무 불이행,126.9192597,37.55388551
서울,송파구,안전운전 의무 불이행,127.1267885,37.49602745
서울,서초구,신호위반,127.0399386,37.46859918
서울,노원구,안전거리 미확보,127.0870455,37.67664241
서울,광진구,중앙선 침범,127.0799576,37.56995262
서울,동작구,안전운전 의무 불이행,126.9731322,37.50492437
서울,도봉구,중앙선 침범,127.0398531,37.66292069
서울,마포구,과속,126.9479643,37.54097168
서울,강동구,과속,127.1373057,37.53421477
서울,강동구,안전거리 미확보,127.1769115,37.55471844
서울,광진구,안전운전 의무 불이행,127.083738,37.53568758
서울,성북구,안전운전 의무 불이행,127.0172653,37.58968674
서울,송파구,안전운전 의무 불이행,127.1067604,37.50548987
서울,영등포구,안전운전 의무 불이행,126.9155463,37.51181022
서울,영등포구,안전운전 의무 불이행,126.9292445,37.51773961
서울,강동구,안전운전 의무 불이행,127.1385521,37.53392114
서울,서초구,안전운전 의무 불이행,127.0130629,37.4782983
서울,종로구,안전운전 의무 불이행,126.9999369,37.57079451
서울,서초구,안전운전 의무 불이행,126.9897533,37.50648457
서울,영등포구,안전운전 의무 불이행,126.8882234,37.53083457
서울,강남구,안전운전 의무 불이행,127.0763454,37.48387823
서울,영등포구,안전운전 의무 불이행,126.8819889,37.52103148
서울,강북구,신호위반,127.0424249,37.62996881
서울,구로구,과속,126.8954147,37.47838583
서울,용산구,안전운전 의무 불이행,126.9826121,37.51986567
서울,양천구,안전운전 의무 불이행,126.8447146,37.5181896
서울,강북구,안전운전 의무 불이행,127.0179034,37.63122317
서울,성북구,안전운전 의무 불이행,127.0123959,37.59124408
서울,동작구,신호위반,126.9293173,37.51322959
서울,성동구,안전운전 의무 불이행,127.039015,37.55813638
서울,성동구,안전운전 의무 불이행,127.0240322,37.56581051
서울,구로구,안전운전 의무 불이행,126.8399233,37.47501522
서울,동작구,안전운전 의무 불이행,126.9136976,37.49645101
서울,마포구,안전운전 의무 불이행,126.9315774,37.54792445
서울,강동구,안전운전 의무 불이행,127.1652401,37.55190074
서울,양천구,신호위반,126.8792188,37.52756075
서울,도봉구,안전운전 의무 불이행,127.0534831,37.65318457
서울,송파구,안전운전 의무 불이행,127.1395519,37.49550824
서울,동작구,안전운전 의무 불이행,126.9498891,37.50083442
서울,강남구,신호위반,127.0467723,37.52421245
서울,성북구,안전운전 의무 불이행,127.027208,37.60438284
서울,강동구,신호위반,127.1562522,37.54918888
서울,광진구,안전운전 의무 불이행,127.0904798,37.54472469
서울,은평구,중앙선 침범,126.9230993,37.60064798
서울,송파구,안전운전 의무 불이행,127.1460155,37.49704208
서울,중랑구,안전운전 의무 불이행,127.1035604,37.61839149
서울,양천구,안전운전 의무 불이행,126.8638986,37.53112968
서울,광진구,안전운전 의무 불이행,127.0747052,37.55926633
서울,성북구,안전운전 의무 불이행,127.0235217,37.60861334
서울,양천구,안전운전 의무 불이행,126.8554585,37.51366086
서울,동작구,안전운전 의무 불이행,126.9044099,37.4864626
서울,용산구,과속,126.9616659,37.52153781
서울,강서구,안전운전 의무 불이행,126.8115392,37.56461836
서울,강남구,안전운전 의무 불이행,127.0519789,37.48432015
서울,강동구,안전운전 의무 불이행,127.1648634,37.55766834
서울,강남구,신호위반,127.04857,37.47376123
서울,영등포구,안전운전 의무 불이행,126.9057438,37.50513637
서울,금천구,기타(운전자법규위반),126.9023081,37.43946592
서울,구로구,안전운전 의무 불이행,126.8587701,37.50617965
서울,용산구,안전운전 의무 불이행,127.0068415,37.53001942
서울,도봉구,안전운전 의무 불이행,127.0508525,37.64573856
서울,강서구,부당한 회전,126.8167459,37.5710301
서울,마포구,안전운전 의무 불이행,126.8909723,37.56022366
서울,영등포구,중앙선 침범,126.9062071,37.53234148
서울,송파구,안전운전 의무 불이행,127.1131819,37.49769627
서울,용산구,안전운전 의무 불이행,126.9673669,37.52493562
서울,광진구,안전운전 의무 불이행,127.0731013,37.54507777
서울,서초구,안전운전 의무 불이행,127.0232483,37.50399254
서울,중구,안전운전 의무 불이행,127.0132241,37.56494621
서울,송파구,신호위반,127.1282404,37.5020982
서울,용산구,안전운전 의무 불이행,126.9546387,37.52443586
서울,강동구,신호위반,127.135058,37.55182032
서울,중구,안전운전 의무 불이행,127.0098183,37.55591863
서울,서초구,안전운전 의무 불이행,127.03537,37.47588234
서울,동작구,중앙선 침범,126.9797307,37.47669603
서울,서대문구,안전운전 의무 불이행,126.9230741,37.5774924
서울,광진구,안전운전 의무 불이행,127.1025635,37.5459107
서울,강서구,안전운전 의무 불이행,126.837825,37.54102735
서울,영등포구,중앙선 침범,126.9067859,37.51499339
서울,서초구,안전운전 의무 불이행,127.040091,37.47878517
서울,송파구,안전운전 의무 불이행,127.1269584,37.47552196
서울,종로구,안전운전 의무 불이행,126.9718123,37.57818924
서울,노원구,안전운전 의무 불이행,127.0550629,37.65439833
서울,구로구,안전운전 의무 불이행,126.8469428,37.49753399
서울,서대문구,신호위반,126.9060887,37.57436163
서울,서초구,안전운전 의무 불이행,127.0474904,37.45567212
서울,영등포구,과속,126.8966979,37.52133287
서울,강동구,안전운전 의무 불이행,127.1216924,37.54639717
서울,노원구,안전운전 의무 불이행,127.0609348,37.67375396
서울,성동구,안전운전 의무 불이행,127.0618852,37.54276527
서울,은평구,안전운전 의무 불이행,126.8890992,37.58578506
서울,용산구,과속,126.9452615,37.52687091
서울,강동구,안전운전 의무 불이행,127.1203363,37.54369777
서울,양천구,안전운전 의무 불이행,126.8640299,37.54365911
서울,서초구,보행자 보호의무 위반,126.9947765,37.50150363
서울,도봉구,안전운전 의무 불이행,127.0398494,37.67086143
서울,용산구,안전운전 의무 불이행,126.9864516,37.53754894
서울,서초구,안전운전 의무 불이행,127.0230215,37.50407275
서울,도봉구,안전운전 의무 불이행,127.0248193,37.65216224
서울,서초구,안전운전 의무 불이행,127.0060412,37.49517867
서울,송파구,신호위반,127.1371513,37.47492275
서울,은평구,신호위반,126.9313294,37.60884505
서울,양천구,안전운전 의무 불이행,126.8532883,37.51339661
서울,강서구,안전운전 의무 불이행,126.8701886,37.55837502
서울,영등포구,안전운전 의무 불이행,126.9011139,37.53516402
서울,성북구,안전운전 의무 불이행,127.0220528,37.60090993
서울,동대문구,과속,127.0647926,37.57033935
서울,종로구,안전운전 의무 불이행,127.0106596,37.57097464
서울,구로구,안전운전 의무 불이행,126.8519494,37.49811138
서울,성동구,중앙선 침범,127.0640393,37.54803715
서울,영등포구,안전운전 의무 불이행,126.8818569,37.52468126
서울,노원구,안전운전 의무 불이행,127.1017362,37.67779256
서울,강서구,안전운전 의무 불이행,126.8156368,37.54867943
서울,동대문구,안전운전 의무 불이행,126.9783937,37.56660917
서울,강동구,부당한 회전,127.1286779,37.53709933
서울,동대문구,안전운전 의무 불이행,127.0406544,37.59538645
서울,강서구,안전운전 의무 불이행,126.8419636,37.55439939
서울,금천구,신호위반,126.903005,37.44836408
서울,동대문구,안전운전 의무 불이행,127.0535364,37.58363726
서울,성북구,보행자 보호의무 위반,127.0374663,37.61265275
서울,성동구,안전운전 의무 불이행,127.0449804,37.54532428
서울,동대문구,안전운전 의무 불이행,127.0699146,37.59137755
서울,동작구,신호위반,126.9204249,37.4998733
서울,노원구,안전운전 의무 불이행,127.0775682,37.63808573
서울,강남구,신호위반,127.0927431,37.48447671
서울,동대문구,안전운전 의무 불이행,127.0320089,37.57043928
서울,강동구,기타(운전자법규위반),127.1559185,37.55208937
서울,광진구,안전거리 미확보,127.073996,37.56091775
서울,동대문구,안전운전 의무 불이행,127.0687851,37.57903399
서울,양천구,안전운전 의무 불이행,126.8635575,37.52599016
서울,동대문구,보행자 보호의무 위반,127.0447733,37.57751069
서울,성북구,안전거리 미확보,127.0287409,37.60742649
서울,용산구,과속,126.9881445,37.5449023
서울,성북구,안전운전 의무 불이행,127.0221007,37.58632638
서울,중랑구,안전운전 의무 불이행,127.1058074,37.60057944
서울,강남구,안전운전 의무 불이행,127.1114178,37.48225915
서울,강동구,안전운전 의무 불이행,127.1630806,37.55630222
서울,성북구,안전운전 의무 불이행,127.0530351,37.60873782
서울,송파구,안전운전 의무 불이행,127.1208479,37.53878703
서울,강서구,신호위반,126.7983464,37.58167512
서울,구로구,안전운전 의무 불이행,126.8834989,37.49979452
서울,영등포구,안전운전 의무 불이행,126.8829579,37.55176348
서울,동대문구,안전운전 의무 불이행,127.0498871,37.58402
서울,구로구,안전운전 의무 불이행,126.8480449,37.50284723
서울,성동구,안전운전 의무 불이행,127.0606968,37.54466271
서울,관악구,안전운전 의무 불이행,126.9260529,37.46369324
서울,금천구,안전운전 의무 불이행,126.9004481,37.46559416
서울,성동구,안전운전 의무 불이행,127.0377203,37.5716155
서울,송파구,안전운전 의무 불이행,127.113519,37.52665805
서울,노원구,안전운전 의무 불이행,127.0904084,37.62391687
서울,송파구,안전운전 의무 불이행,127.0992657,37.52118438
서울,종로구,신호위반,126.9903456,37.57740542
서울,성북구,신호위반,127.0237088,37.58637794
서울,강서구,안전운전 의무 불이행,126.8519851,37.56985876
서울,영등포구,안전운전 의무 불이행,126.9105843,37.50969443
서울,서초구,안전운전 의무 불이행,127.0508366,37.45217316
서울,동작구,기타(운전자법규위반),126.9658658,37.50689635
서울,영등포구,안전운전 의무 불이행,126.9188344,37.52991657
서울,중구,안전운전 의무 불이행,126.9954125,37.56162658
서울,강남구,안전운전 의무 불이행,127.0248908,37.50368368
서울,강남구,신호위반,127.0350569,37.5154508
서울,강남구,과속,127.0486947,37.47370762
서울,강남구,안전운전 의무 불이행,127.0557725,37.52749152
서울,동대문구,안전운전 의무 불이행,127.0684474,37.57278641
서울,서대문구,보행자 보호의무 위반,126.9376194,37.58900965
서울,강북구,안전운전 의무 불이행,127.0129107,37.62346918
서울,용산구,안전운전 의무 불이행,126.9850227,37.51983114
서울,도봉구,안전운전 의무 불이행,127.0509524,37.68560495
서울,성북구,안전운전 의무 불이행,127.0524173,37.62108386
서울,양천구,안전운전 의무 불이행,126.8365304,37.52233518
서울,동대문구,신호위반,127.065261,37.59105404
서울,양천구,보행자 보호의무 위반,126.871196,37.51527798
서울,강북구,기타(운전자법규위반),127.0207692,37.62086944
서울,광진구,안전운전 의무 불이행,127.1087102,37.54377699
서울,영등포구,안전운전 의무 불이행,126.8998546,37.52706351
서울,동대문구,안전운전 의무 불이행,127.0453264,37.57968507
서울,서초구,안전운전 의무 불이행,127.0535152,37.45994407
서울,은평구,신호위반,126.9227474,37.60660411
서울,마포구,과속,126.9079127,37.56425772
서울,동작구,신호위반,126.91424,37.49653482
서울,성북구,안전운전 의무 불이행,127.0513969,37.61551871
서울,동대문구,중앙선 침범,127.0431481,37.57845082
서울,노원구,안전운전 의무 불이행,127.0567561,37.66897929
서울,동작구,안전운전 의무 불이행,126.9273595,37.51030874
서울,강남구,과속,127.0459612,37.4955732
서울,서대문구,안전운전 의무 불이행,126.9467576,37.59241484
서울,서대문구,안전운전 의무 불이행,126.967258,37.56171471
서울,광진구,안전운전 의무 불이행,127.0881627,37.55642521
서울,강북구,안전운전 의무 불이행,127.0392598,37.62864955
서울,은평구,보행자 보호의무 위반,126.9351456,37.63755292
서울,강남구,안전운전 의무 불이행,127.0585619,37.51699217
서울,동작구,보행자 보호의무 위반,126.9427228,37.49539269
서울,구로구,신호위반,126.8475717,37.5019631
서울,중랑구,안전운전 의무 불이행,127.0881194,37.60335827
서울,노원구,안전운전 의무 불이행,127.0708947,37.62977834
서울,종로구,안전운전 의무 불이행,126.9921705,37.57049996
서울,동대문구,안전운전 의무 불이행,127.0446032,37.5775551
서울,영등포구,안전운전 의무 불이행,126.9069213,37.5196162
서울,영등포구,안전운전 의무 불이행,126.9163469,37.51797943
서울,동대문구,안전운전 의무 불이행,127.0367307,37.58877327
서울,영등포구,안전운전 의무 불이행,126.9012217,37.51460477
서울,구로구,안전운전 의무 불이행,126.824608,37.48908893
서울,구로구,안전운전 의무 불이행,126.8849089,37.48789498
서울,용산구,안전운전 의무 불이행,126.9534638,37.52570134
서울,성북구,중앙선 침범,127.0602626,37.61274891
서울,송파구,안전운전 의무 불이행,127.1265418,37.47968495
서울,동작구,안전운전 의무 불이행,126.9818842,37.48273559
서울,송파구,안전운전 의무 불이행,127.1055874,37.50695518
서울,송파구,안전운전 의무 불이행,127.1069171,37.50581488
서울,강남구,신호위반,127.0518354,37.51591225
서울,성동구,안전운전 의무 불이행,127.0599772,37.54383079
서울,은평구,안전운전 의무 불이행,126.8844022,37.5894922
서울,용산구,안전운전 의무 불이행,126.9706443,37.5319809
서울,성북구,안전운전 의무 불이행,127.0107992,37.60674959
서울,관악구,안전운전 의무 불이행,126.905771,37.48028615
서울,구로구,신호위반,126.839599,37.4874521
서울,종로구,안전운전 의무 불이행,126.9879846,37.57323099
서울,동작구,안전운전 의무 불이행,126.9607842,37.50709499
서울,노원구,안전운전 의무 불이행,127.0791064,37.61855918
서울,은평구,안전운전 의무 불이행,126.930712,37.60957215
서울,강서구,보행자 보호의무 위반,126.8339845,37.54011342
서울,성북구,안전운전 의무 불이행,127.036253,37.59273731
서울,용산구,과속,126.9896417,37.51955374
서울,종로구,안전운전 의무 불이행,127.0170316,37.57326326
서울,동대문구,안전운전 의무 불이행,127.0628502,37.60234801
서울,은평구,안전운전 의무 불이행,126.9154945,37.6054147
서울,강동구,안전운전 의무 불이행,127.1551605,37.55517069
서울,송파구,신호위반,127.1122986,37.51755935
서울,강동구,안전운전 의무 불이행,127.1413004,37.55798669
서울,동작구,안전운전 의무 불이행,126.9507302,37.51280562
서울,구로구,안전운전 의무 불이행,126.8467828,37.50161622
서울,동대문구,안전운전 의무 불이행,127.0231226,37.57528
서울,중랑구,안전운전 의무 불이행,127.0821234,37.59171885
서울,동작구,안전운전 의무 불이행,126.9389548,37.50458671
서울,관악구,안전운전 의무 불이행,126.9352811,37.48611845
서울,동작구,안전운전 의무 불이행,126.9399429,37.50256335
서울,송파구,안전운전 의무 불이행,127.121653,37.53403947
서울,서초구,과속,127.040653,37.46273408
서울,강북구,안전운전 의무 불이행,127.0177421,37.63162811
서울,관악구,안전운전 의무 불이행,126.9520885,37.48782003
서울,관악구,안전운전 의무 불이행,126.9587197,37.47333872
서울,광진구,안전운전 의무 불이행,127.0901962,37.54275876
서울,성동구,중앙선 침범,127.0342625,37.55587337
서울,노원구,안전운전 의무 불이행,127.0693205,37.63939891
서울,동대문구,안전운전 의무 불이행,127.0277617,37.58130162
서울,종로구,안전운전 의무 불이행,127.0109723,37.57164293
서울,은평구,신호위반,126.9159353,37.59104953
서울,송파구,과속,127.0740522,37.51125332
서울,동대문구,안전운전 의무 불이행,127.0233629,37.57490241
서울,서초구,안전거리 미확보,126.9848065,37.46894854
서울,서대문구,안전운전 의무 불이행,126.9392741,37.59038756
서울,용산구,안전운전 의무 불이행,126.9717317,37.54950802
서울,성북구,안전운전 의무 불이행,127.0125517,37.59165934
서울,강북구,기타(운전자법규위반),127.0242273,37.63123983
서울,강북구,안전운전 의무 불이행,127.0195897,37.62279351
서울,강북구,안전운전 의무 불이행,127.0221154,37.61236625
서울,광진구,신호위반,127.0832413,37.53949856
서울,마포구,과속,126.9527236,37.54646503
서울,영등포구,안전운전 의무 불이행,126.9079958,37.51939806
서울,영등포구,신호위반,126.8976481,37.50026411
서울,성동구,과속,127.0466383,37.55196461
서울,성동구,안전운전 의무 불이행,127.0326356,37.54081437
서울,동작구,안전운전 의무 불이행,126.9252888,37.50145641
서울,동작구,안전운전 의무 불이행,126.9374151,37.50471459
서울,중랑구,신호위반,127.087137,37.59046559
서울,관악구,안전운전 의무 불이행,126.9180342,37.47555196
서울,강남구,안전운전 의무 불이행,127.0486312,37.52935729
서울,강남구,안전운전 의무 불이행,127.0357669,37.52871253
서울,강서구,신호위반,126.8693309,37.54864494
서울,송파구,안전운전 의무 불이행,127.1055086,37.51762701
서울,송파구,안전운전 의무 불이행,127.1053044,37.52631541
서울,송파구,안전운전 의무 불이행,127.1194606,37.5066131
서울,구로구,보행자 보호의무 위반,126.8859857,37.49868078
서울,서초구,안전운전 의무 불이행,127.007544,37.51613248
서울,양천구,안전운전 의무 불이행,126.8800484,37.54218497
서울,도봉구,안전운전 의무 불이행,127.043657,37.66940705
서울,은평구,안전운전 의무 불이행,126.9322677,37.6150688
서울,은평구,안전운전 의무 불이행,126.9221856,37.61771486
서울,강남구,안전운전 의무 불이행,127.0298078,37.49359011
서울,강남구,보행자 보호의무 위반,127.0550033,37.4893161
서울,송파구,안전운전 의무 불이행,127.1416059,37.4988946
서울,중구,안전운전 의무 불이행,127.0117417,37.56480489
서울,중구,안전운전 의무 불이행,127.0140727,37.56504886
서울,중구,신호위반,126.9731706,37.55417442
서울,종로구,안전운전 의무 불이행,126.9704712,37.5692509
서울,종로구,안전운전 의무 불이행,126.9498255,37.6095907
서울,종로구,신호위반,127.0140925,37.57245802
서울,용산구,안전운전 의무 불이행,126.9772139,37.52152743
서울,용산구,신호위반,126.9680354,37.52959862
서울,성북구,안전운전 의무 불이행,127.0080483,37.58920703
서울,강북구,보행자 보호의무 위반,127.0230106,37.63364149
서울,강북구,신호위반,127.030731,37.63509656
서울,동대문구,안전운전 의무 불이행,127.0436246,37.58573555
서울,광진구,중앙선 침범,127.0600841,37.53526833
서울,광진구,안전운전 의무 불이행,127.0860756,37.54587389
서울,영등포구,중앙선 침범,126.9191415,37.52679941
서울,영등포구,보행자 보호의무 위반,126.9077947,37.51477312
